SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500085,CHAMBAL FERT,A ,Q,159.65,160.60,157.50,159.20,159.20,158.80,464,13968,2226026.00,
500086,EXIDE IND.  ,A ,Q,183.45,184.20,178.45,181.90,182.10,184.20,815,48788,8810682.00,
500087,CIPLA LTD.  ,A ,Q,471.80,471.80,464.60,468.65,468.20,468.10,617,36598,17102467.00,
500089,DIC INDIA   ,B ,Q,336.25,347.00,330.00,335.90,336.00,324.05,117,1573,533026.00,
500092,CRISIL LTD  ,A ,Q,1265.00,1269.00,1252.40,1256.20,1256.00,1259.10,141,8371,10567077.00,
500093,CGPOWER     ,A ,Q,14.20,14.60,13.86,14.24,14.25,14.58,1399,676711,9600867.00,
500096,DABUR (I)   ,A ,Q,453.30,454.35,446.60,452.05,451.45,450.10,1294,66671,30084240.00,
500097,DALMIASUG   ,B ,Q,87.00,89.10,83.25,85.45,85.45,87.15,737,44214,3816784.00,
500101,ARVIND Ltd  ,A ,Q,52.45,54.30,51.15,53.45,53.45,52.20,1447,910948,47473666.00,
500102,BALARPUR IND,B ,Q,0.66,0.66,0.60,0.62,0.62,0.63,270,1650942,1035729.00,
500103,BHEL        ,A ,Q,51.65,51.95,50.00,51.65,51.65,51.55,2165,898572,45850140.00,
500104,HIND.PETRO  ,A ,Q,266.00,272.70,259.55,271.00,271.00,262.55,5038,612718,163237641.00,
500106,IFCI LTD    ,A ,Q,7.50,7.89,7.39,7.70,7.70,7.51,214,178524,1350048.00,
500108,MAHA.TELE   ,B ,Q,5.99,6.60,5.85,6.51,6.51,6.02,497,340646,2123816.00,
500109,MRPL        ,A ,Q,47.70,52.95,46.70,51.65,51.65,47.85,1664,144685,7388248.00,
500110,CHENNAI PET.,A ,Q,183.60,199.00,183.35,194.60,194.60,183.60,779,25701,4999337.00,
500111,REL.CAP.    ,A ,Q,36.25,37.00,34.75,36.40,36.40,35.95,3995,1996110,71484513.00,
500112,STATE BANK  ,A ,Q,286.00,292.40,282.10,291.70,291.70,286.85,10622,970245,278861214.00,
500113,STEEL AUTH. ,A ,Q,33.40,33.95,32.45,33.75,33.75,33.80,2135,3129368,103362293.00,
500114,TITAN       ,A ,Q,1075.00,1126.00,1075.00,1123.10,1123.10,1085.65,5300,152187,169623677.00,
500116,IDBI BANK L ,A ,Q,28.25,29.35,27.40,28.75,28.75,28.25,991,717306,20261565.00,
500117,DCW LTD.    ,B ,Q,17.15,18.00,16.90,17.90,17.90,17.40,152,36206,637472.00,
500119,DHAMPUR SUGA,B ,Q,179.20,189.10,175.00,184.05,184.05,178.10,1721,106700,19646168.00,
500120,DIAMINES&CHM,X ,Q,117.10,119.90,114.25,115.40,117.90,116.45,23,1394,161087.00,
500123,ELANTAS     ,B ,Q,2145.00,2222.00,2142.00,2209.25,2204.00,2206.10,17,263,570134.00,
500124,DR.REDDY'S  ,A ,Q,2788.00,2791.00,2693.35,2731.95,2734.70,2765.30,3241,36334,99204280.00,
500125,E.I.D.PAR   ,A ,Q,165.00,171.45,165.00,166.80,166.80,163.75,803,237586,39778078.00,
500126,PGHL        ,A ,Q,4291.90,4345.00,4250.00,4324.05,4324.05,4295.20,441,1233,5299461.00,
500128,ELEC.CASTING,B ,Q,16.24,17.10,16.20,17.01,17.10,16.40,39,8799,147909.00,
